hora,PN,FA
00:00:00,0.121778907578554,-0.0912815794639953
00:30:00,0.0971372212126098,-0.123903473665319
01:00:00,0.0569902915701827,0.0324482515150707
01:30:00,0.101239719108557,0.0241620018585741
02:00:00,0.133723473267006,-0.0126217845471617
02:30:00,-0.113465204615319,-0.0304437270324725
03:00:00,0.271202875908401,0.045529506406764
03:30:00,0.00555269420146941,-0.137644691960537
04:00:00,0.211583758883458,0.222376629739913
04:30:00,-0.120733257417999,-0.144302369282532
05:00:00,-0.264537067315677,-0.496772432203094
05:30:00,0.0879315690296452,0.149072040386672
06:00:00,-0.0896240464951918,-0.0951258680759332
06:30:00,-0.0536354359753269,-0.115204708456804
07:00:00,-0.0753198624718343,0.00504002136751838
07:30:00,-0.0883897001867156,-0.0617571045955022
08:00:00,-0.0471350070584066,0.0896130745422153
08:30:00,-0.0609531703516123,0.0626106371271634
09:00:00,0.0681550286665001,0.0942043257640629
09:30:00,0.00490981035616215,-0.000898388522373826
10:00:00,-0.0479581933131918,-0.0276962628505671
10:30:00,0.0472893172513893,-0.038289949639949
11:00:00,0.0338410427670289,-0.131619367563733
11:30:00,0.00936336880803022,-0.102023093971519
12:00:00,0.0242669676763216,-0.0476384594250473
12:30:00,0.00440916054335825,-0.148107724506216
13:00:00,-0.0309312739910917,-0.0716520623527396
13:30:00,0.0208300201729933,-0.110603887358287
14:00:00,-0.00521469768457584,-0.204987075998712
14:30:00,-0.0471471041742423,-0.118638768280369
15:00:00,-0.0576647773390022,-0.141617574484471
